iteration_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name,timestamp
1,-0.645,4.858,8.246,0.029,-0.071,0.100,Sitting,1665775667644
1,-0.229,4.796,8.703,0.084,-0.006,0.004,Sitting,1665775667883
1,-0.243,4.872,8.751,0.027,0.013,0.047,Sitting,1665775668122
1,-0.200,4.762,8.787,-0.017,0.015,0.028,Sitting,1665775668359
1,-0.241,4.870,8.734,0.010,0.053,-0.014,Sitting,1665775668597
1,-0.365,4.769,8.720,-0.014,0.056,-0.050,Sitting,1665775668838
1,-0.519,4.630,8.562,-0.042,-0.011,-0.027,Sitting,1665775669075
1,0.154,4.877,9.190,0.006,-0.098,-0.332,Sitting,1665775669314
1,-0.473,4.872,8.648,0.334,-0.101,-0.220,Sitting,1665775669551
1,-0.722,5.093,7.482,0.162,-0.366,-0.482,Sitting,1665775669789
1,-1.067,5.083,8.418,0.024,-0.079,-0.378,Sitting,1665775670028
1,-1.472,5.457,7.434,-0.107,0.034,-0.086,Sitting,1665775670269
1,-2.413,4.851,9.134,0.140,0.055,0.032,Sitting,1665775670505
1,-1.951,4.563,8.255,0.201,0.016,-0.328,Sitting,1665775670745
1,-2.799,4.592,8.363,-0.076,-0.152,-0.253,Sitting,1665775670981
1,-2.815,4.503,8.469,-0.099,-0.288,-0.118,Sitting,1665775671222
1,-2.109,4.295,8.667,-0.041,-0.147,0.008,Sitting,1665775671457
1,-1.742,4.563,8.864,0.025,0.016,0.043,Sitting,1665775671695
1,-1.685,4.877,8.186,-0.049,-0.139,0.201,Sitting,1665775671933
1,-1.692,4.130,8.461,0.031,0.455,0.555,Sitting,1665775672173
1,-0.758,3.251,7.966,-0.482,0.605,0.455,Sitting,1665775672411
1,-1.455,3.699,9.738,0.166,-0.041,1.734,Sitting,1665775672648
1,-1.350,2.029,11.240,0.592,0.030,3.244,Sitting,1665775672886
1,1.073,2.398,10.169,-0.159,2.706,2.972,Sitting,1665775673125
1,-2.727,3.507,8.593,-0.889,1.608,1.605,Sitting,1665775673364
1,-3.191,2.072,15.239,0.677,-3.103,1.401,Sitting,1665775673604
1,4.256,3.081,9.822,-0.705,2.501,0.764,Sitting,1665775673840
1,-2.042,2.288,7.712,-0.538,0.682,0.804,Sitting,1665775674078
1,-0.471,3.442,6.098,0.633,-5.834,-0.387,Sitting,1665775674317
1,6.445,3.881,7.182,0.343,0.449,0.326,Sitting,1665775674558
1,0.324,0.098,10.138,0.033,2.661,0.584,Sitting,1665775674793
1,1.741,1.016,10.710,5.239,-11.472,0.266,Sitting,1665775675031
1,5.887,-1.459,3.041,2.518,-7.278,2.505,Sitting,1665775675270
1,14.528,2.123,-3.244,0.190,0.659,1.254,Sitting,1665775675509
1,10.998,-6.934,-0.770,0.437,-0.270,0.558,Sitting,1665775675747
1,5.269,-6.932,-0.619,0.351,0.184,0.521,Sitting,1665775675984
1,7.521,-7.006,-1.127,-0.085,-0.328,-0.175,Sitting,1665775676222
1,8.287,-6.098,-0.122,-0.150,-0.031,-0.075,Sitting,1665775676461
1,7.818,-6.599,-0.280,-0.037,-0.148,-0.270,Sitting,1665775676699
1,8.208,-5.777,-0.552,-0.031,-0.043,-0.130,Sitting,1665775676937
1,8.294,-5.816,-0.871,-0.046,-0.022,-0.058,Sitting,1665775677175
1,8.440,-5.615,-0.802,0.042,-0.083,-0.021,Sitting,1665775677413
1,8.316,-5.531,-1.031,-0.044,-0.079,-0.051,Sitting,1665775677651
1,8.416,-5.488,-1.252,-0.165,-0.058,-0.079,Sitting,1665775677890
1,8.397,-5.090,-0.897,-0.051,-0.231,-0.128,Sitting,1665775678128
1,8.366,-5.536,-1.942,-0.368,0.278,0.051,Sitting,1665775678367
1,8.562,-5.167,-0.979,-0.055,0.167,0.051,Sitting,1665775678605
1,9.168,-3.306,-1.724,-0.376,0.652,-0.314,Sitting,1665775678843
1,8.495,-4.331,0.227,-0.747,1.193,-0.277,Sitting,1665775679082
1,9.276,-3.766,1.370,-0.349,0.633,-0.023,Sitting,1665775679321
1,9.516,-2.707,2.953,-0.457,2.328,-0.394,Sitting,1665775679558
1,6.220,-1.840,6.098,0.991,1.306,-0.676,Sitting,1665775679797
1,4.709,-1.430,9.357,0.760,0.787,-0.266,Sitting,1665775680035
1,3.746,0.726,11.527,0.498,0.532,0.135,Sitting,1665775680274
1,3.016,3.811,9.973,0.358,0.720,-0.283,Sitting,1665775680512
1,1.255,3.847,9.712,0.668,0.291,-0.427,Sitting,1665775680750
1,-1.134,4.755,7.276,0.338,0.229,-0.263,Sitting,1665775680990
1,-1.862,5.742,7.820,0.132,0.164,0.075,Sitting,1665775681227
1,-1.218,6.192,8.679,-0.083,0.015,-0.003,Sitting,1665775681466
1,-0.564,5.471,8.121,-0.075,0.333,0.397,Sitting,1665775681704
1,0.381,4.831,7.367,0.022,-0.169,0.105,Sitting,1665775681943
1,-1.529,5.016,8.667,0.087,-0.142,0.079,Sitting,1665775682182
