iteration_number,window_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name
1,1,"[-0.645, -0.229, -0.243, -0.2, -0.241, -0.365, -0.519, 0.154, -0.473]","[4.858, 4.796, 4.872, 4.762, 4.87, 4.769, 4.63, 4.877, 4.872]","[8.246, 8.703, 8.751, 8.787, 8.734, 8.72, 8.562, 9.19, 8.648]","[0.029, 0.084, 0.027, -0.017, 0.01, -0.014, -0.042, 0.006, 0.334]","[-0.071, -0.006, 0.013, 0.015, 0.053, 0.056, -0.011, -0.098, -0.101]","[0.1, 0.004, 0.047, 0.028, -0.014, -0.05, -0.027, -0.332, -0.22]",Sitting
1,2,"[-0.722, -1.067, -1.472, -2.413, -1.951, -2.799, -2.815, -2.109, -1.742]","[5.093, 5.083, 5.457, 4.851, 4.563, 4.592, 4.503, 4.295, 4.563]","[7.482, 8.418, 7.434, 9.134, 8.255, 8.363, 8.469, 8.667, 8.864]","[0.162, 0.024, -0.107, 0.14, 0.201, -0.076, -0.099, -0.041, 0.025]","[-0.366, -0.079, 0.034, 0.055, 0.016, -0.152, -0.288, -0.147, 0.016]","[-0.482, -0.378, -0.086, 0.032, -0.328, -0.253, -0.118, 0.008, 0.043]",Sitting
1,3,"[-1.685, -1.692, -0.758, -1.455, -1.35, 1.073, -2.727, -3.191, 4.256]","[4.877, 4.13, 3.251, 3.699, 2.029, 2.398, 3.507, 2.072, 3.081]","[8.186, 8.461, 7.966, 9.738, 11.24, 10.169, 8.593, 15.239, 9.822]","[-0.049, 0.031, -0.482, 0.166, 0.592, -0.159, -0.889, 0.677, -0.705]","[-0.139, 0.455, 0.605, -0.041, 0.03, 2.706, 1.608, -3.103, 2.501]","[0.201, 0.555, 0.455, 1.734, 3.244, 2.972, 1.605, 1.401, 0.764]",Sitting
1,4,"[-2.042, -0.471, 6.445, 0.324, 1.741, 5.887, 14.528, 10.998, 5.269]","[2.288, 3.442, 3.881, 0.098, 1.016, -1.459, 2.123, -6.934, -6.932]","[7.712, 6.098, 7.182, 10.138, 10.71, 3.041, -3.244, -0.77, -0.619]","[-0.538, 0.633, 0.343, 0.033, 5.239, 2.518, 0.19, 0.437, 0.351]","[0.682, -5.834, 0.449, 2.661, -11.472, -7.278, 0.659, -0.27, 0.184]","[0.804, -0.387, 0.326, 0.584, 0.266, 2.505, 1.254, 0.558, 0.521]",Sitting
1,5,"[7.521, 8.287, 7.818, 8.208, 8.294, 8.44, 8.316, 8.416, 8.397]","[-7.006, -6.098, -6.599, -5.777, -5.816, -5.615, -5.531, -5.488, -5.09]","[-1.127, -0.122, -0.28, -0.552, -0.871, -0.802, -1.031, -1.252, -0.897]","[-0.085, -0.15, -0.037, -0.031, -0.046, 0.042, -0.044, -0.165, -0.051]","[-0.328, -0.031, -0.148, -0.043, -0.022, -0.083, -0.079, -0.058, -0.231]","[-0.175, -0.075, -0.27, -0.13, -0.058, -0.021, -0.051, -0.079, -0.128]",Sitting
1,6,"[8.366, 8.562, 9.168, 8.495, 9.276, 9.516, 6.22, 4.709, 3.746]","[-5.536, -5.167, -3.306, -4.331, -3.766, -2.707, -1.84, -1.43, 0.726]","[-1.942, -0.979, -1.724, 0.227, 1.37, 2.953, 6.098, 9.357, 11.527]","[-0.368, -0.055, -0.376, -0.747, -0.349, -0.457, 0.991, 0.76, 0.498]","[0.278, 0.167, 0.652, 1.193, 0.633, 2.328, 1.306, 0.787, 0.532]","[0.051, 0.051, -0.314, -0.277, -0.023, -0.394, -0.676, -0.266, 0.135]",Sitting
1,7,"[3.016, 1.255, -1.134, -1.862, -1.218, -0.564, 0.381, -1.529, -0.198]","[3.811, 3.847, 4.755, 5.742, 6.192, 5.471, 4.831, 5.016, 6.266]","[9.973, 9.712, 7.276, 7.82, 8.679, 8.121, 7.367, 8.667, 7.314]","[0.358, 0.668, 0.338, 0.132, -0.083, -0.075, 0.022, 0.087, -0.079]","[0.72, 0.291, 0.229, 0.164, 0.015, 0.333, -0.169, -0.142, 0.006]","[-0.283, -0.427, -0.263, 0.075, -0.003, 0.397, 0.105, 0.079, 0.041]",Sitting
1,1,"[-3.124, -2.7, -2.487, -2.473, 5.411, 14.679, 5.149, 17.92, 11.7]","[6.285, 6.704, 6.542, 2.827, 6.082, 1.067, -5.172, -6.015, -2.221]","[6.732, 7.472, 5.942, 6.323, 8.073, 7.8, 0.088, -1.69, 0.385]","[-0.041, -0.085, 0.062, -1.44, -1.431, 1.548, 0.68, -0.496, 1.201]","[-0.074, 0.072, 0.222, 0.688, -3.645, -2.129, -0.948, -0.146, -0.101]","[0.024, 0.151, 0.818, 0.809, 2.084, 1.039, 0.285, 3.988, -0.552]",Walking
1,2,"[11.125, 7.978, 5.751, 10.895, 13.479, 10.076, 12.56, 5.993, 4.67]","[-4.839, -5.492, -4.532, -7.135, -3.033, -3.912, -8.445, -3.557, -6.412]","[-0.201, 0.673, 0.819, -2.375, 2.895, 0.529, 1.14, 0.929, -0.943]","[1.385, 0.315, -0.35, -1.064, -1.492, 1.167, 0.854, 0.395, -0.927]","[-1.637, -0.33, 0.243, 1.381, 0.85, -0.578, -0.814, -0.162, 0.722]","[-1.754, -1.459, 1.343, 2.449, 1.185, -0.884, -2.312, -0.509, 1.412]",Walking
1,3,"[13.204, 13.221, 13.963, 5.983, 2.03, 15.688, 11.52, 12.993, 8.416]","[-9.344, -1.217, -9.619, -7.255, -5.571, -9.94, -3.392, -8.776, -10.206]","[3.509, 1.296, 1.008, 1.202, -0.01, 2.776, 0.167, 0.247, 0.237]","[-3.128, 0.398, 1.544, 0.338, -0.388, -1.744, -0.753, 1.052, 1.133]","[2.262, -0.908, -1.552, 0.118, 0.455, 0.281, 0.134, -0.332, -0.075]","[1.832, 0.217, -2.617, -2.288, 1.006, 3.721, 1.112, -1.434, -3.348]",Walking
